id,word
1,buy
2,bought
3,rise
4,up
5,bullish
6,increase
7,good
8,high
9,higher
10,bull
11,positive
12,long
13,soar
14,soaring
15,stable
16,stabilized
17,nice
18,happy
19,gain
154,jumping
21,buying
22,better
23,best
24,strong
25,stronger
26,overweight
27,outperform
28,upgrade
29,upgraded
30,great
31,oversold
32,rises
33,rising
149,succeeding
145,profit
36,strength
37,solid
38,turnaround
39,persuade
40,persuasive
41,persuades
42,persuaded
43,existant
49,keep
153,positivity
50,grow
51,grows
52,growing
53,grew
54,gains
55,gaining
56,profits
57,love
58,loves
59,loving
60,hope
61,hopes
62,hoping
63,improve
64,improves
65,improving
66,improvement
67,headed
68,pleases
69,pleased
70,pleasure
71,successful
72,success
73,succeed
74,succeeds
75,expand
76,expands
77,expanding
78,heading
79,unveil
80,unveils
81,propitious
82,unalarming
83,undervalued
84,premium
85,opportunity
86,fly
87,flies
88,excited
89,excitement
90,recover
91,recovers
92,covered
93,innovative
94,innovation
95,alive
96,rose
97,gained
98,victory
99,impressive
100,highest
101,amazing
102,amazingly
103,winner
104,praise
105,triumph
106,crow
107,dynamic
108,jump
109,jumps
110,jumped
111,sustainable
112,justify
113,opportunities
114,rally
115,cool
116,fantastic
117,ample
118,formidable
119,prospering
120,prosper
121,popular
122,honorable
123,undeceive
124,undeceives
125,honor
126,tremendous
127,compelling
128,recommend
129,recommends
130,recommended
132,promising
133,hot
134,impressed
135,uptrend
136,flying
137,raises
138,humungous
139,height
140,heights
141,highs
142,catapult
143,catapults
144,decent
146,buys
147,upgrades
148,upgrading
150,plus
216,rallying
152,longs
155,leading
156,uptrending
157,double
158,triple
215,hype
160,increasing
161,skyrocket
162,rocks
163,rocking
164,rockin
165,upside
166,hotter
167,hottest
168,excellent
169,green
170,upward
171,upwards
172,bot
173,booming
174,optimistic
175,climb
176,climbs
177,climbing
178,super
179,bulls
180,calls
181,call
182,boom
183,acquisition
184,acquires
185,acquire
186,acquiring
187,acquired
188,return
189,growth
190,perk
191,perking
192,increased
193,increases
194,undercapitalized
195,undercapitalize
196,dividend
197,dividends
198,gainer
199,gainers
200,worth
201,merger
202,purchase
203,purchased
204,purchases
205,expansion
206,record
207,rallies
208,recovering
209,winning
210,surge
211,surges
212,boost
213,boosts
214,divi
217,explosive
218,"breakout "
219,confident
220,soars
